,TOTAL_PTS,TOTAL_BENCH_PTS,WL,MATCHUP,TEAM_ID,SEASON
0,620,169,1,"BOS,CHI",1610612738,2016-17
1,502,181,0,"BOS,CLE",1610612738,2016-17
2,772,229,1,"BOS,WAS",1610612738,2016-17
0,608,145,1,"GSW,CLE",1610612744,2016-17
1,478,144,1,"GSW,POR",1610612744,2016-17
2,498,131,1,"GSW,SAS",1610612744,2016-17
3,444,107,1,"GSW,UTA",1610612744,2016-17
0,602,119,1,"CLE,BOS",1610612739,2016-17
1,574,92,0,"CLE,GSW",1610612739,2016-17
2,451,103,1,"CLE,IND",1610612739,2016-17
3,465,125,1,"CLE,TOR",1610612739,2016-17
0,434,204,0,"SAS,GSW",1610612759,2016-17
1,651,224,1,"SAS,HOU",1610612759,2016-17
2,628,189,1,"SAS,MEM",1610612759,2016-17
0,564,234,1,"HOU,OKC",1610612745,2016-17
1,621,181,0,"HOU,SAS",1610612745,2016-17
0,404,117,0,"TOR,CLE",1610612761,2016-17
1,563,147,1,"TOR,MIL",1610612761,2016-17
0,684,193,0,"LAC,UTA",1610612746,2016-17
0,640,143,1,"WAS,ATL",1610612764,2016-17
1,765,166,0,"WAS,BOS",1610612764,2016-17
0,633,147,0,"ATL,WAS",1610612737,2016-17
0,384,119,0,"UTA,GSW",1610612762,2016-17
1,692,263,1,"UTA,LAC",1610612762,2016-17
0,559,174,0,"MIL,TOR",1610612749,2016-17
0,521,133,0,"OKC,HOU",1610612760,2016-17
0,578,152,0,"MEM,SAS",1610612763,2016-17
0,435,136,0,"IND,CLE",1610612754,2016-17
0,579,174,0,"CHI,BOS",1610612741,2016-17
0,406,128,0,"POR,GSW",1610612757,2016-17
